77;119;12
154;12;114
97;126;42
241;174;15
202;9;224
74;239;13
248;70;40
45;243;114
6;122;94
220;30;106
11;10;114
117;71;49
87;160;159
243;226;238
232;18;230
97;209;232
13;246;7
230;21;94
214;245;113
197;22;212
244;7;29
214;31;121
20;241;43
15;162;62
97;50;129
151;248;214
246;189;69
146;20;235
17;171;11
143;209;249
29;20;217
112;245;12
243;143;123
27;226;248
156;20;137
117;7;194
176;230;37
208;8;17
18;20;240
41;83;247
123;217;199
105;16;240
103;227;120
94;10;17
199;162;213
248;19;41
194;60;34
43;7;17
218;217;189
19;235;99
